TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
org.semanticweb.rulewerk.client.picocli.SaveModelTest.isSaveModel_saveFalseNullDir,0,1,1,1,1,1.00,4,1,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.QueryAnsweringCorrectnessTest.testCorrectnessNoKBChanges,1,58,9,1,1,0.09,27,412,0,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.PredicateImplTest.predicateNameNotEmpty,0,0,0,0,0,0.00,1,6,0,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.MergingPrefixDeclarationRegistryTest.unresolveAbsoluteIri_unrelatedAndRelatedPrefixes_succeeds,1,3,2,1,1,0.89,7,34,1,0.00,0.00
org.semanticweb.rulewerk.client.shell.TerminalStylePrinterTest.testPrintImportant,1,3,1,1,1,0.29,13,10,0,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.QueryAnsweringCorrectnessTest.testStatementsListRemovalBeforeReason,1,55,7,1,1,0.10,12,354,0,0.00,0.00
org.semanticweb.rulewerk.parser.RuleParserTest.testBlankPrefixDeclaration,0,6,3,1,1,0.08,27,51,1,0.00,0.00
org.semanticweb.rulewerk.commands.RemoveSourceCommandInterpreterTest.wrongArgumentCountZero_fails,2,8,3,1,1,0.31,12,103,1,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.MergingPrefixDeclarationRegistryTest.resolvePrefixedName_unresolveAbsoluteIri_doesRoundTrip,1,5,2,1,1,0.83,9,41,1,0.00,0.00
org.semanticweb.rulewerk.commands.SetPrefixCommandInterpreterTest.synopsis_succeeds,1,1,1,1,1,0.00,7,2,1,0.00,0.00
org.semanticweb.rulewerk.owlapi.OwlAxiomToRulesConverterTest.testSubObjectPropertyOf,1,6,3,1,1,0.00,10,28,1,0.00,0.00
org.semanticweb.rulewerk.commands.ExportCommandInterpreterTest.help_succeeds,3,9,4,1,1,0.00,17,64,1,0.00,0.00
org.semanticweb.rulewerk.commands.LoadCommandInterpreterTest.correctUseWithRulesTask_succeeds,2,16,4,1,1,0.21,21,141,1,0.00,0.00
org.semanticweb.rulewerk.client.picocli.PrintQueryResultsTest.isComplete_sizeFalseCompleteFalse,0,1,1,1,1,1.00,3,1,1,0.00,0.00
org.semanticweb.rulewerk.core.reasoner.KnowledgeBaseTest.getPrefix_defaultUndeclaredPrefix_throws,1,39,16,3,3,0.15,12,164,1,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.NegativeLiteralImplTest.predicateNameNotEmpty,0,1,1,1,1,0.00,1,13,0,0.00,0.00
org.semanticweb.rulewerk.core.reasoner.KnowledgeBaseTest.mergePrefixDeclarations_merge_succeeds,2,50,17,3,3,0.16,20,213,1,0.00,0.00
org.semanticweb.rulewerk.client.picocli.PrintQueryResultsTest.isComplete_sizeTrueCompleteTrue,0,1,1,1,1,1.00,3,1,1,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.SerializerTest.serializeLanguageStringConstant_fails,1,5,4,1,1,0.00,7,28,1,0.00,0.00
org.semanticweb.rulewerk.owlapi.OwlAxiomToRulesConverterTest.testContrapositive,1,29,7,1,1,0.00,18,132,1,0.00,0.00
org.semanticweb.rulewerk.parser.RuleParserTest.parseLiteral_invalidLiteralString_throws,0,8,4,1,1,0.00,27,61,1,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.SerializerTest.serializeEmptyPrefixDeclarations,3,3,2,1,1,0.85,10,44,1,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.PositiveLiteralImplTest.testEquals,3,19,8,2,2,0.11,26,81,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.AddDataSourceTest.testAddDataSourceBeforeLoading,1,51,8,1,1,0.10,31,324,0,0.00,0.00
org.semanticweb.rulewerk.commands.ReasonCommandInterpreterTest.help_succeeds,3,9,4,1,1,0.00,17,64,1,0.00,0.00
org.semanticweb.rulewerk.parser.RuleParserTest.testDecimalLiteral,0,10,4,1,1,0.03,29,61,1,0.00,0.00
org.semanticweb.rulewerk.parser.ParserConfigurationTest.isParsingOfNamedNullsAllowed_disabled_returnsFalse,1,3,1,1,1,0.50,7,12,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.ModelToVLogConverterTest.testToVLogTermBlankSkolemization,0,1,1,1,1,1.00,7,1,0,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.VLogReasonerStateTest.testFailExportQueryAnswersBeforeLoad,1,5,2,1,1,0.00,4,37,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.VLogDataSourceConfigurationVisitorTest.visit_RdfFileDataSource_succeeds,1,5,1,1,1,0.10,17,12,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.VLogReasonerStateTest.testSuccessiveCloseAfterLoad,1,21,4,1,1,0.14,7,129,1,0.00,0.00
org.semanticweb.rulewerk.rdf.RdfValueToTermConverterTest.convertLiteralString_succeeds,1,2,1,1,1,0.50,9,19,1,0.00,0.00
org.semanticweb.rulewerk.commands.ClearCommandInterpreterTest.correctUseSources_succeeds,2,15,4,1,1,0.26,26,125,1,0.00,0.00
org.semanticweb.rulewerk.commands.QueryCommandInterpreterTest.wrongArgumentExportWithLimit_fails,2,9,3,1,1,0.25,12,122,1,0.00,0.00
org.semanticweb.rulewerk.parser.RuleParserTest.testNoBodyExistential,0,8,4,1,1,0.07,27,55,1,0.00,0.00
org.semanticweb.rulewerk.parser.EntityTest.iriRoundTripTest,0,9,4,1,1,0.03,5,56,0,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.TermImplTest.existentialVariableToStringTest,1,5,3,1,1,0.08,4,29,0,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.StratifiedNegationTest.testSimpleInputNegation,0,0,0,0,0,0.00,39,0,0,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.PredicateImplTest.arityNegative,0,0,0,0,0,0.00,1,6,0,0.00,0.00
org.semanticweb.rulewerk.core.reasoner.implementation.SkolemizationTest.skolemizeNamedNull_differentInstancesDifferentNames_mapsToDifferentNamedNull,1,3,2,2,2,0.14,10,17,1,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.RuleImplTest.headNotNull,0,5,2,1,1,0.67,5,46,0,0.00,0.00
org.semanticweb.rulewerk.parser.RuleParserTest.parseLiteral_allEscapeSequences_succeeds,0,10,4,1,1,0.03,29,61,1,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.TermImplTest.universalVariableToStringTest,1,5,3,1,1,0.08,4,29,0,0.00,0.00
org.semanticweb.rulewerk.parser.RuleParserDataSourceTest.testCustomDataSource,1,11,4,1,1,0.12,16,65,1,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.FactTest.factToStringTest,0,23,12,2,2,0.05,7,94,0,0.00,0.00
org.semanticweb.rulewerk.client.shell.DefaultShellConfigurationTest.buildCompleterLoad_emptyLine,1,3,1,1,1,0.18,26,23,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.VLogReasonerStateTest.testStatementRemovalAfterLoad,1,49,6,1,1,0.06,8,292,1,0.00,0.00
org.semanticweb.rulewerk.commands.LoadCommandInterpreterTest.correctUse_succeeds,2,15,4,1,1,0.21,24,137,1,0.00,0.00
org.semanticweb.rulewerk.commands.QueryCommandInterpreterTest.wrongArgumentMissingExportFile_fails,2,8,3,1,1,0.28,12,110,1,0.00,0.00
org.semanticweb.rulewerk.client.picocli.SaveModelTest.isConfigurationValid_saveTrueNullDir_nonValid,0,1,1,1,1,1.00,4,1,1,0.00,0.00
org.semanticweb.rulewerk.parser.DirectiveHandlerTest.validateFilenameArgument_filename_succeeds,0,2,1,1,1,0.75,9,12,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.ModelToVLogConverterTest.testToVLogTermBlank,0,2,2,1,1,0.67,6,4,1,0.00,0.00
org.semanticweb.rulewerk.parser.RuleParserTest.parseInto_relativeImportRedeclaringBase_succeeds,0,29,7,3,1,0.02,30,149,1,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.TermImplTest.languageStringNameNonNull,0,0,0,0,0,0.00,1,6,0,0.00,0.00
org.semanticweb.rulewerk.client.shell.ShellTest.readCommand_unknown,2,3,1,1,1,0.58,23,36,1,0.00,0.00
org.semanticweb.rulewerk.client.picocli.PrintQueryResultsTest.isSizeOnly_sizeFalseCompleteTrue,0,1,1,1,1,1.00,3,1,1,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.MergingPrefixDeclarationRegistryTest.setBaseIri_changingBase_succeeds,1,4,2,1,1,0.72,8,24,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.VLogDataFromMemoryTest.queryEmptyKnowledgeBaseBeforeReasoning,0,0,0,0,0,0.00,10,0,0,0.00,0.00
org.semanticweb.rulewerk.commands.RemoveSourceCommandInterpreterTest.synopsis_succeeds,1,1,1,1,1,0.00,7,2,1,0.00,0.00
org.semanticweb.rulewerk.commands.RemoveSourceCommandInterpreterTest.correctUseNothingRemoved_succeeds,2,17,5,1,1,0.23,23,131,1,0.00,0.00
org.semanticweb.rulewerk.parser.EntityTest.languageStringConstantToStringRoundTripTest,0,9,4,1,1,0.03,6,56,0,0.00,0.00
org.semanticweb.rulewerk.commands.HelpCommandInterpreterTest.help_succeeds,3,9,4,1,1,0.00,17,64,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.VLogReasonerStateTest.testStatementsArrayRemovalBeforeLoad,1,8,2,1,1,0.25,7,43,1,0.00,0.00
org.semanticweb.rulewerk.client.picocli.SaveModelTest.isConfigurationValid_saveTrueDefaultDir_valid,0,1,1,1,1,1.00,4,1,1,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.PositiveLiteralImplTest.termsNotNull,0,1,1,1,1,1.00,4,16,0,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.LoggingTest.testSetLogFileAppendsToFile,1,48,6,1,1,0.12,22,313,0,0.00,0.00
org.semanticweb.rulewerk.owlapi.OwlAxiomToRulesConverterTest.testDisjointClassesSimpleClassAndTop,1,28,7,1,1,0.03,12,140,1,0.00,0.00
org.semanticweb.rulewerk.parser.RuleParserTest.parse_relativeImportStatement_succeeds,0,30,7,3,1,0.02,30,154,1,0.00,0.00
org.semanticweb.rulewerk.parser.RuleParserTest.testFactWithCommentSymbol,0,11,4,1,1,0.06,29,60,1,0.00,0.00
org.semanticweb.rulewerk.client.picocli.SaveModelTest.isSaveModel_saveTrueNullDir,0,1,1,1,1,1.00,4,1,1,0.00,0.00
org.semanticweb.rulewerk.parser.RuleParserTest.parse_withoutBaseRelative_succeeds,0,9,4,1,1,0.07,29,54,1,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.PositiveLiteralImplTest.termsNonEmpty,0,0,0,0,0,0.00,1,6,0,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.SerializerTest.serializeFact_fails,1,10,7,2,2,0.00,7,37,1,0.00,0.00
org.semanticweb.rulewerk.client.picocli.SaveModelTest.isConfigurationValid_saveFalseEmptyDir_valid,0,1,1,1,1,1.00,4,1,1,0.00,0.00
org.semanticweb.rulewerk.client.picocli.PrintQueryResultsTest.isComplete_sizeFalseCompleteTrue,0,1,1,1,1,1.00,3,1,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.VLogDataFromCsvFileTest.testLoadDataFomCsvString,1,11,4,1,1,0.18,41,76,0,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.TermImplTest.namedNullToStringTest,1,5,3,1,1,0.08,4,29,0,0.00,0.00
org.semanticweb.rulewerk.client.picocli.SaveModelTest.setOutputModelDirectory_and_getOutputModelDirectory,1,2,1,1,1,1.00,8,7,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.VLogReasonerStateTest.testStatementsArrayRemovalAfterLoad,1,49,6,1,1,0.06,8,292,1,0.00,0.00
org.semanticweb.rulewerk.parser.EntityTest.abstractConstantRelativeBooleanToStringRoundTripTest,0,9,4,1,1,0.03,5,56,0,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.PredicateImplTest.predicateNameNotNull,0,0,0,0,0,0.00,1,6,0,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.SerializerTest.serializeRdfDataSourceDeclaration,3,32,14,3,3,0.06,8,140,1,0.00,0.00
org.semanticweb.rulewerk.client.shell.ShellTest.readCommand_parsingException,2,6,2,1,1,0.45,23,43,1,0.00,0.00
org.semanticweb.rulewerk.client.picocli.SaveModelTest.isConfigurationValid_saveTrueEmptyDir_nonValid,0,1,1,1,1,1.00,4,1,1,0.00,0.00
org.semanticweb.rulewerk.owlapi.OwlAxiomToRulesConverterTest.testNegativeExistential,1,30,7,1,1,0.00,12,134,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.VLogReasonerStateTest.testAddFactsAndQuery,1,57,8,1,1,0.09,30,382,1,0.00,0.00
org.semanticweb.rulewerk.parser.RuleParserTest.testPrefixedLiteral,0,12,4,1,1,0.05,28,65,1,0.00,0.00
org.semanticweb.rulewerk.owlapi.OwlAxiomToRulesConverterTest.testDisjointClassesSimpleClassAndBot,1,24,7,1,1,0.00,6,131,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.VLogKnowledgeBaseTest.hasData_onlyAliasedPredicates_returnsTrue,1,8,3,1,1,0.02,14,76,1,0.00,0.00
org.semanticweb.rulewerk.parser.RuleParserDataSourceTest.testCsvSource,0,14,6,2,1,0.02,5,87,1,0.00,0.00
org.semanticweb.rulewerk.parser.RuleParserTest.parse_relativeImportStatement_relativeParentImport_succeeds,0,34,8,3,1,0.02,30,172,1,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.TermFactoryTest.universalVariable_reused,2,5,4,2,2,0.31,10,33,1,0.00,0.00
org.semanticweb.rulewerk.client.picocli.SaveModelTest.isConfigurationValid_saveFalseDefaultDir_valid,0,1,1,1,1,1.00,4,1,1,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.TermFactoryTest.lruCache_works,1,1,1,1,1,0.00,10,4,0,0.00,0.00
org.semanticweb.rulewerk.core.model.implementation.SerializerTest.serializeUniversalVariable,1,5,4,1,1,0.33,7,25,1,0.00,0.00
org.semanticweb.rulewerk.rdf.RdfValueToTermConverterTest.convertUriToPredicate_succeeds,1,1,1,1,1,1.00,7,7,1,0.00,0.00
org.semanticweb.rulewerk.client.shell.ShellTest.run_help_exit,2,15,3,2,1,0.10,35,79,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.VLogToModelConverterTest.testAbstractConstantConversion,0,2,1,1,1,0.22,6,27,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.QueryAnsweringCorrectnessTest.countQueryAnswers_PredicateNotLoaded_Materialized,1,54,7,1,1,0.07,12,336,0,0.00,0.00
org.semanticweb.rulewerk.commands.AddSourceCommandInterpreterTest.wrongSecondArgumentWrongAritySource_fails,2,14,3,1,1,0.26,12,117,1,0.00,0.00
org.semanticweb.rulewerk.parser.RuleParserTest.parseLiteral_escapeSequences_roundTrips,0,10,4,1,1,0.03,28,61,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.AnswerQueryTest.queryEmptyFacts,1,37,6,1,1,0.20,24,252,0,0.00,0.00
org.semanticweb.rulewerk.parser.ParserConfigurationTest.registerDatatype_dataSourceName_succeeds,1,2,1,1,1,1.00,5,14,1,0.00,0.00
org.semanticweb.rulewerk.client.picocli.PrintQueryResultsTest.isSizeOnly_sizeFalseCompleteFalse,0,1,1,1,1,1.00,3,1,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.VLogToModelConverterTest.testDatatypeConstantConversion,0,2,1,1,1,0.22,6,27,1,0.00,0.00
org.semanticweb.rulewerk.reasoner.vlog.VLogReasonerStateTest.testFailExportQueryAnswerToCsvBeforeLoad,1,5,2,1,1,0.00,4,37,1,0.00,0.00
